gower_sparse_1.2,gower_sparse_1.4,gower_sparse_1.6,gower_sparse_1.8,gower_sparse_2.0,gower_sparse_2.2,gower_sparse_2.4,gower_sparse_2.6,gower_sparse_2.8,gower_sparse_3.0,gower_spectral,gower_unweighted,wishart_sparse_1.2,wishart_sparse_1.4,wishart_sparse_1.6,wishart_sparse_1.8,wishart_sparse_2.0,wishart_sparse_2.2,wishart_sparse_2.4,wishart_sparse_2.6,wishart_sparse_2.8,wishart_sparse_3.0,wishart_spectral,wishart_unweighted,podani_sparse_1.2,podani_sparse_1.4,podani_sparse_1.6,podani_sparse_1.8,podani_sparse_2.0,podani_sparse_2.2,podani_sparse_2.4,podani_sparse_2.6,podani_sparse_2.8,podani_sparse_3.0,podani_spectral,podani_unweighted,huang_sparse_1.2,huang_sparse_1.4,huang_sparse_1.6,huang_sparse_1.8,huang_sparse_2.0,huang_sparse_2.2,huang_sparse_2.4,huang_sparse_2.6,huang_sparse_2.8,huang_sparse_3.0,huang_spectral,huang_unweighted
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.0,0.07299743033579033,0.1457724413568952,0.19622994267883215,0.24299625827309992,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20412414523193154,0.0,0.0,0.0,0.0,0.008721439129993779,0.056164093293909666,0.08840339218981481,0.09484557240904179,0.09484557240904179,0.09484557240904179,0.20412414523193154,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034716134788081287,0.037227302746622885,0.20412414523193154,0.22586034538793356,0.004387951049990937,0.26133753861869163,0.48303230860589536,0.504055302370544,0.48461019201206973,0.4707158013840982,0.4548438226466622,0.4358144115636956,0.4060216007097142,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20412414523193154,0.22584825430666336,0.3139225462812357,0.29241802876083095,0.32739391541998114,0.3714254340406468,0.3837881640116068,0.3882535398750301,0.3886369581339212,0.3886369581339212,0.3886369581339212,0.20412414523193154,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20412414523193154,0.0,0.0,0.0,0.0,0.048356802648215694,0.2814345775519113,0.32543526723441946,0.3419446994660977,0.34829781150869765,0.34647089711335244,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20412414523193154,0.0,0.04542044532970066,0.02922712085329227,0.046913576362679045,0.14952001281214913,0.18682262411395958,0.20798550859811618,0.2120114166106285,0.2120114166106285,0.2120114166106285,0.20412414523193154,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.0,0.008738038138444574,0.0958357510930648,0.15752025896498822,0.21665623935436476,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.03741095022874463,0.07124002349918837,0.07802900616669413,0.07802900616669413,0.07802900616669413,0.20412414523193154,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03547268270679572,0.13360891994480642,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.0,0.030813711364421507,0.03841954673001539,0.03841954673001539,0.03841954673001539,0.20412414523193154,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013992716550590732,0.04670613273321352,0.20412414523193154,0.0,0.5838321977693048,0.53571771088605,0.4155872761346237,0.4710585023776278,0.46989839217541296,0.4601961425940825,0.44666887849118514,0.42947739761733766,0.40170957717396866,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014290714287528285,0.20412414523193154,0.0,0.008759701060595815,0.2852800658781292,0.3379354469652543,0.37808000037192174,0.390930486025367,0.3947903804250845,0.39504171550452355,0.39504171550452355,0.39504171550452355,0.20412414523193154,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01901076179287898,0.05122706531909791,0.20412414523193154,0.0,0.0,0.0,0.14441367022207033,0.3383895583532367,0.4107472335949905,0.4179001616666013,0.4138002000496896,0.4039984133306298,0.3843723926827911,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015085044159011695,0.20412414523193154,0.0,0.08763439843562879,0.08471763323399396,0.23989649349424913,0.30573230771988735,0.32389577689117754,0.33343845536692246,0.33492946537267165,0.33492946537267165,0.33492946537267165,0.20412414523193154,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018914825596691588,0.051140633042271406,0.20412414523193154,0.9741596914167836,0.8118624949666331,0.802937871290011,0.7570414101030765,0.638111483931318,0.544379857870942,0.5134540453657722,0.48805618863945815,0.4615598139156965,0.4235400694741497,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20412414523193154,0.9741624946725431,0.9442632566877267,0.9083367649137942,0.8478570909017599,0.7765923654820328,0.7427027865538454,0.7167416217791424,0.7104876209457684,0.7104876209457684,0.7104876209457684,0.20412414523193154,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.008962244453221203,0.13060417887391512,0.1905392880463279,0.2309320918813243,0.2666093488183869,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20412414523193154,0.0,0.0,0.0,0.0,0.00992050532656216,0.05966640405978112,0.09160879891736558,0.09798621079647929,0.09798621079647929,0.09798621079647929,0.20412414523193154,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022562524864880463,0.10072067138718739,0.17800693851183222,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.018637048880880733,0.054057656283455664,0.06119382528279706,0.06119382528279706,0.06119382528279706,0.20412414523193154,0.0,0.0,0.0,0.0
